ImagePath,X0,X1,Y0,Y1,Class
000015335564.jpg,80,116,477,514,ADVISORY SPEED MPH
000015340509.jpg,1720,1760,485,526,ADVISORY SPEED MPH
000016400582.jpg,50,76,468,490,ADVISORY SPEED MPH
000016450565.jpg,1765,1840,517,590,ADVISORY SPEED MPH
000024250089.jpg,354,428,430,504,ADVISORY SPEED MPH
000024270005.jpg,1740,1799,467,522,ADVISORY SPEED MPH
000024235187.jpg,1822,1872,379,427,ADVISORY SPEED MPH
000001005148.jpg,118,202,415,490,ADVISORY SPEED MPH
000021810659.jpg,66,127,450,511,ADVISORY SPEED MPH
000021815397.jpg,1679,1754,426,500,ADVISORY SPEED MPH
000019640055.jpg,1564,1622,412,467,ADVISORY SPEED MPH
000041185722.jpg,1805,1843,453,496,ADVISORY SPEED MPH
000041185722.jpg,47,89,479,520,ADVISORY SPEED MPH
000017935659.jpg,1708,1783,496,573,ADVISORY SPEED MPH
000008355028.jpg,1768,1814,488,534,ADVISORY SPEED MPH
000019880246.jpg,194,243,538,584,ADVISORY SPEED MPH
000019890533.jpg,1748,1819,515,581,ADVISORY SPEED MPH
000013995588.jpg,1760,1795,440,477,ADVISORY SPEED MPH
000014090648.jpg,1596,1812,460,522,ADVISORY SPEED MPH
000020470018.jpg,177,227,519,568,ADVISORY SPEED MPH
000020480463.jpg,1760,1828,525,594,ADVISORY SPEED MPH
000020670551.jpg,71,129,506,560,ADVISORY SPEED MPH
000020675407.jpg,1725,1790,495,559,ADVISORY SPEED MPH
000000630030.jpg,1631,1703,497,564,ADVISORY SPEED MPH
000000625140.jpg,96,153,468,523,ADVISORY SPEED MPH
000009390306.jpg,786,842,67,122,ADVISORY SPEED MPH
000041735469.jpg,1617,1704,552,634,ADVISORY SPEED MPH
000017280192.jpg,1740,1809,555,623,ADVISORY SPEED MPH
000025200059.jpg,1697,1769,544,612,ADVISORY SPEED MPH
000006725235.jpg,1173,1241,507,579,ADVISORY SPEED MPH
000009185184.jpg,1413,1470,502,560,ADVISORY SPEED MPH
000000705232.jpg,1162,1220,525,588,ADVISORY SPEED MPH
000033605638.jpg,1694,1759,480,544,ADVISORY SPEED MPH
000034665482.jpg,1511,1554,496,547,ADVISORY SPEED MPH
000038495386.jpg,1527,1619,502,592,ADVISORY SPEED MPH
000019395432.jpg,1692,1759,510,574,ADVISORY SPEED MPH
000024430389.jpg,1740,1798,482,537,ADVISORY SPEED MPH
000039355412.jpg,1371,1410,463,507,ADVISORY SPEED MPH
000020175070.jpg,1611,1646,487,529,ADVISORY SPEED MPH
000024855136.jpg,1597,1633,425,462,ADVISORY SPEED MPH
000006170496.jpg,1605,1677,500,572,ADVISORY SPEED MPH
000006850047.jpg,1726,1767,449,487,ADVISORY SPEED MPH
000035890215.jpg,1666,1722,557,608,ADVISORY SPEED MPH
000011370366.jpg,1719,1780,511,563,ADVISORY SPEED MPH
000015190215.jpg,247,266,510,527,ADVISORY SPEED MPH
000015260618.jpg,1752,1824,488,560,ADVISORY SPEED MPH
000004940085.jpg,1574,1668,488,578,ADVISORY SPEED MPH
000005655762.jpg,1422,1468,493,540,ADVISORY SPEED MPH
000011930511.jpg,1475,1505,500,537,ADVISORY SPEED MPH
000008460676.jpg,1731,1797,461,526,ADVISORY SPEED MPH
000005110496.jpg,1616,1732,502,609,ADVISORY SPEED MPH
000021940726.jpg,1670,1759,408,495,ADVISORY SPEED MPH
000001815621.jpg,1458,1487,449,487,ADVISORY SPEED MPH
000022410657.jpg,1419,1450,520,553,ADVISORY SPEED MPH
000006180448.jpg,1404,1443,485,532,ADVISORY SPEED MPH
000013670108.jpg,1713,1783,498,575,ADVISORY SPEED MPH
000015755782.jpg,1608,1707,523,620,ADVISORY SPEED MPH
000000580120.jpg,1739,1833,531,620,ADVISORY SPEED MPH
000001370286.jpg,1567,1652,569,653,ADVISORY SPEED MPH
000019695789.jpg,1808,1898,531,615,ADVISORY SPEED MPH
000003180214.jpg,1623,1689,510,576,ADVISORY SPEED MPH
000020340511.jpg,1725,1826,493,608,ADVISORY SPEED MPH
000003540359.jpg,1215,1306,381,478,ADVISORY SPEED MPH
000003875039.jpg,1077,1160,398,490,ADVISORY SPEED MPH
000004315724.jpg,1079,1163,506,589,ADVISORY SPEED MPH
000003030644.jpg,1780,1869,496,581,ADVISORY SPEED MPH
000003650029.jpg,1827,1870,528,570,ADVISORY SPEED MPH
000003895536.jpg,1711,1836,433,556,ADVISORY SPEED MPH
000005805034.jpg,1799,1888,504,593,ADVISORY SPEED MPH
000006105298.jpg,174,236,489,551,ADVISORY SPEED MPH
000006360617.jpg,1624,1710,457,541,ADVISORY SPEED MPH
000009285100.jpg,1658,1742,545,629,ADVISORY SPEED MPH
000006345274.jpg,1297,1363,453,556,ADVISORY SPEED MPH
000006600252.jpg,1140,1197,395,471,ADVISORY SPEED MPH
000009270095.jpg,1097,1170,484,563,ADVISORY SPEED MPH
000009650479.jpg,1123,1184,416,480,ADVISORY SPEED MPH
000009930767.jpg,1118,1191,426,501,ADVISORY SPEED MPH
000001355110.jpg,1788,1862,484,555,ADVISORY SPEED MPH
000028215687.jpg,1749,1823,537,606,ADVISORY SPEED MPH
000004390148.jpg,658,682,478,505,ADVISORY SPEED MPH
000013895460.jpg,1713,1774,502,561,ADVISORY SPEED MPH
000030945182.jpg,1724,1786,513,573,ADVISORY SPEED MPH
000000270099.jpg,1208,1281,486,567,ADVISORY SPEED MPH
000002790234.jpg,1710,1797,528,613,ADVISORY SPEED MPH
000011515581.jpg,1757,1867,530,628,ADVISORY SPEED MPH
000014205065.jpg,1753,1855,474,568,ADVISORY SPEED MPH
000015290455.jpg,1640,1724,498,575,ADVISORY SPEED MPH
000034785541.jpg,1169,1242,527,604,ADVISORY SPEED MPH
000026390084.jpg,1688,1779,514,601,ADVISORY SPEED MPH
000010820025.jpg,1638,1737,511,601,ADVISORY SPEED MPH
000012470458.jpg,1732,1819,532,611,ADVISORY SPEED MPH
000013580705.jpg,1707,1793,509,592,ADVISORY SPEED MPH
000014615441.jpg,1629,1707,557,632,ADVISORY SPEED MPH
000005810798.jpg,1233,1309,535,619,ADVISORY SPEED MPH
000006325289.jpg,1144,1204,520,588,ADVISORY SPEED MPH
000005765067.jpg,1605,1682,582,655,ADVISORY SPEED MPH
000000455120.jpg,1076,1139,455,526,ADVISORY SPEED MPH
000002615139.jpg,1200,1284,452,540,ADVISORY SPEED MPH
000003580706.jpg,1117,1186,468,543,ADVISORY SPEED MPH
000004850081.jpg,1027,1098,514,585,ADVISORY SPEED MPH
000005560467.jpg,1257,1331,519,603,ADVISORY SPEED MPH
000037085169.jpg,1033,1124,459,556,ADVISORY SPEED MPH
000004720319.jpg,1379,1413,494,533,ADVISORY SPEED MPH
000005035298.jpg,1463,1511,397,446,ADVISORY SPEED MPH
000012615164.jpg,1700,1774,466,535,ADVISORY SPEED MPH
000013285044.jpg,1787,1871,480,560,ADVISORY SPEED MPH
000025675424.jpg,1508,1548,457,500,ADVISORY SPEED MPH
000026355512.jpg,1466,1544,472,554,ADVISORY SPEED MPH
000000770504.jpg,1193,1261,477,550,ADVISORY SPEED MPH
000019855151.jpg,1603,1694,498,581,ADVISORY SPEED MPH
000021970287.jpg,1307,1359,425,485,ADVISORY SPEED MPH
000023330339.jpg,1162,1234,533,617,ADVISORY SPEED MPH
000024745507.jpg,1279,1346,520,589,ADVISORY SPEED MPH
000008880464.jpg,1489,1537,500,554,ADVISORY SPEED MPH
000030160345.jpg,1350,1412,466,530,ADVISORY SPEED MPH
000030990028.jpg,1265,1344,467,555,ADVISORY SPEED MPH
000034675092.jpg,1571,1645,492,571,ADVISORY SPEED MPH
000001925429.jpg,1480,1605,392,518,ADVISORY SPEED MPH
000011565604.jpg,1751,1831,478,555,ADVISORY SPEED MPH
000024200257.jpg,1615,1701,583,664,ADVISORY SPEED MPH
000025045528.jpg,1598,1666,592,657,ADVISORY SPEED MPH
000026270618.jpg,1687,1771,505,583,ADVISORY SPEED MPH
000026390205.jpg,1654,1759,561,663,ADVISORY SPEED MPH
000005015109.jpg,1630,1702,531,601,ADVISORY SPEED MPH
000034330393.jpg,1694,1751,515,570,ADVISORY SPEED MPH
000021770156.jpg,1174,1245,488,560,ADVISORY SPEED MPH
000020695240.jpg,1567,1656,613,691,ADVISORY SPEED MPH
000002625200.jpg,1604,1671,561,627,ADVISORY SPEED MPH
000024950113.jpg,1457,1509,480,533,ADVISORY SPEED MPH
000024085333.jpg,1600,1678,533,612,ADVISORY SPEED MPH
000030320591.jpg,1723,1801,501,577,ADVISORY SPEED MPH
000032405270.jpg,1639,1705,490,557,ADVISORY SPEED MPH
000034075617.jpg,1701,1820,511,629,ADVISORY SPEED MPH
000034260501.jpg,1607,1711,531,635,ADVISORY SPEED MPH
000035045125.jpg,1682,1808,505,628,ADVISORY SPEED MPH
000003875293.jpg,1503,1544,503,551,ADVISORY SPEED MPH
000005960297.jpg,1435,1480,476,524,ADVISORY SPEED MPH
000006850177.jpg,1474,1507,501,545,ADVISORY SPEED MPH
000005655346.jpg,1571,1639,541,606,ADVISORY SPEED MPH
000001905611.jpg,1024,1096,484,558,ADVISORY SPEED MPH
000026300056.jpg,1706,1760,485,540,ADVISORY SPEED MPH
000005295376.jpg,1221,1274,547,605,ADVISORY SPEED MPH
000000765051.jpg,1688,1794,495,591,ADVISORY SPEED MPH
000028865761.jpg,734,804,455,524,ADVISORY SPEED MPH
000025675469.jpg,1627,1705,476,552,ADVISORY SPEED MPH
000003580055.jpg,1279,1364,526,614,ADVISORY SPEED MPH
000004060719.jpg,1051,1110,507,578,ADVISORY SPEED MPH
000006640726.jpg,1174,1212,509,556,ADVISORY SPEED MPH
000003520202.jpg,1763,1846,526,608,ADVISORY SPEED MPH
000005985285.jpg,1734,1810,499,573,ADVISORY SPEED MPH
000006630306.jpg,1625,1697,504,574,ADVISORY SPEED MPH
000007265676.jpg,1046,1098,502,554,ADVISORY SPEED MPH
000015510612.jpg,1710,1798,473,556,ADVISORY SPEED MPH
000015940604.jpg,1695,1781,506,593,ADVISORY SPEED MPH
000027595218.jpg,1764,1840,588,661,ADVISORY SPEED MPH
000027705792.jpg,1581,1661,577,655,ADVISORY SPEED MPH
000005025615.jpg,1352,1431,428,513,ADVISORY SPEED MPH
000015560782.jpg,1657,1739,570,649,ADVISORY SPEED MPH
000019725659.jpg,1417,1457,489,530,ADVISORY SPEED MPH
000020595069.jpg,1516,1566,487,533,ADVISORY SPEED MPH
000021515224.jpg,1540,1586,504,554,ADVISORY SPEED MPH
000007795473.jpg,1771,1811,541,587,ADVISORY SPEED MPH
000005910059.jpg,109,161,511,557,ADVISORY SPEED MPH
000005920463.jpg,1717,1786,520,587,ADVISORY SPEED MPH
000008650594.jpg,1711,1761,484,529,ADVISORY SPEED MPH
000026520163.jpg,1350,1404,595,659,ADVISORY SPEED MPH
000027850079.jpg,1229,1292,484,552,ADVISORY SPEED MPH
000004175425.jpg,1705,1793,478,560,ADVISORY SPEED MPH
000020260503.jpg,1628,1737,529,629,ADVISORY SPEED MPH
000025200573.jpg,1185,1263,524,609,ADVISORY SPEED MPH
000025780591.jpg,1067,1133,520,598,ADVISORY SPEED MPH
000041630325.jpg,1716,1834,525,639,ADVISORY SPEED MPH
000041880610.jpg,1793,1868,524,593,ADVISORY SPEED MPH
000027285179.jpg,1269,1353,477,564,ADVISORY SPEED MPH
000031860265.jpg,1050,1118,504,578,ADVISORY SPEED MPH
000031280040.jpg,55,117,539,595,ADVISORY SPEED MPH
000005325207.jpg,1520,1561,503,549,ADVISORY SPEED MPH
000007565198.jpg,1549,1589,498,542,ADVISORY SPEED MPH
000008175585.jpg,1399,1432,518,560,ADVISORY SPEED MPH
000025915298.jpg,1062,1117,538,593,ADVISORY SPEED MPH
000014850452.jpg,1706,1781,536,615,ADVISORY SPEED MPH
000016225228.jpg,1613,1705,548,636,ADVISORY SPEED MPH
000017925095.jpg,1724,1824,581,673,ADVISORY SPEED MPH
000018020279.jpg,1567,1674,531,634,ADVISORY SPEED MPH
000016295380.jpg,1372,1426,514,575,ADVISORY SPEED MPH
000020385202.jpg,1287,1378,446,550,ADVISORY SPEED MPH
000027065143.jpg,1349,1425,473,550,ADVISORY SPEED MPH
000028680549.jpg,1086,1158,461,537,ADVISORY SPEED MPH
000029245137.jpg,1237,1325,423,511,ADVISORY SPEED MPH
000028100528.jpg,1170,1251,466,557,ADVISORY SPEED MPH
000032400519.jpg,1155,1237,487,567,ADVISORY SPEED MPH
000032290364.jpg,129,180,456,503,ADVISORY SPEED MPH
000006630058.jpg,1753,1825,453,524,ADVISORY SPEED MPH
000000615071.jpg,1709,1774,451,513,ADVISORY SPEED MPH
000003465646.jpg,1686,1748,506,567,ADVISORY SPEED MPH
000001920658.jpg,71,130,541,594,ADVISORY SPEED MPH
000001930443.jpg,1655,1723,538,606,ADVISORY SPEED MPH
000002565500.jpg,1535,1573,449,493,ADVISORY SPEED MPH
000012480330.jpg,1494,1527,522,557,ADVISORY SPEED MPH
000028950079.jpg,1825,1876,489,543,ADVISORY SPEED MPH
000012905316.jpg,1400,1440,508,552,ADVISORY SPEED MPH
000004705251.jpg,1759,1831,539,604,ADVISORY SPEED MPH
000002315537.jpg,1716,1781,530,589,ADVISORY SPEED MPH
